"Date","Price","Open","High","Low","Vol.","Change %"
"01/06/1990","16.14","16.31","16.46","15.33","116.69K","-0.62%"
"01/05/1990","16.24","17.20","18.16","16.10","128.86K","-5.14%"
"01/04/1990","17.12","18.49","18.65","15.94","90.08K","-6.86%"
"01/03/1990","18.38","19.48","19.68","18.00","125.89K","-5.65%"
"01/02/1990","19.48","19.90","20.20","19.12","96.02K","-2.89%"
"01/01/1990","20.06","20.20","22.28","19.02","125.01K","-1.08%"
"01/12/1989","20.28","18.54","20.30","18.50","85.76K","9.68%"
"01/11/1989","18.49","18.82","19.15","18.07","94.74K","-0.75%"
"01/10/1989","18.63","18.33","19.20","18.11","120.50K","2.59%"
"01/09/1989","18.16","17.17","18.20","17.11","87.29K","5.34%"
"01/08/1989","17.24","16.72","17.30","16.28","87.55K","4.36%"
"01/07/1989","16.52","17.58","18.27","16.40","95.61K","-5.55%"
"01/06/1989","17.49","17.65","18.10","16.00","112.47K","-1.46%"
"01/05/1989","17.75","18.75","18.90","16.68","85.86K","-6.28%"
"01/04/1989","18.94","18.90","20.45","18.15","98.99K","-3.12%"
"01/03/1989","19.55","16.62","19.75","16.50","88.40K","19.21%"
"01/02/1989","16.40","15.69","16.61","15.16","55.27K","3.08%"
"01/01/1989","15.91","15.63","17.25","15.59","69.28K","2.51%"
"01/12/1988","15.52","14.35","15.60","14.03","44.91K","10.46%"
"01/11/1988","14.05","12.45","15.00","11.70","53.26K","10.28%"
"01/10/1988","12.74","11.83","13.95","11.30","31.33K","4.08%"
"01/09/1988","12.24","14.50","14.50","12.03","32.94K","-16.16%"
"01/08/1988","14.60","15.64","15.64","14.48","15.08K","-7.01%"
"01/07/1988","15.70","14.60","15.90","13.79","7.21K","5.72%"
